nn	last min avg max
zw01-data-hdp-nn01	0.000	0.000	6.781	298.800
zw01-data-hdp-nn02	0.000	0.000	0.000	0.000
zw01-data-hdp-nn03	27.000	0.000	87.287	2.23K
zw01-data-hdp-nn04	0.000	0.000	0.000	0.000
zw01-data-hdp-nn05	128.600	0.000	82.391	1.855K
zw01-data-hdp-nn06	0.000	0.000	0.000	0.000
zw01-data-hdp-nn07	0.000	0.000	0.000	0.000
zw01-data-hdp-nn08	77.400	0.000	233.585	8.743K
zw01-data-hdp-nn09	0.000	0.000	39.547	686.600
zw01-data-hdp-nn10	0.000	0.000	0.000	0.000
zw01-data-hdp-nn11	0.000	0.000	0.000	0.000
zw01-data-hdp-nn12	0.200	0.000	163.278	2.995K
zw01-data-hdp-nn13	0.000	0.000	0.000	0.000
zw01-data-hdp-nn14	1.200	0.000	3.358	229.800
zw02-data-hdp-nn01	184.800	0.000	391.365	8.739K
zw02-data-hdp-nn02	0.000	0.000	0.000	0.000
zw02-data-hdp-nn03	53.400	0.000	741.233	20.763K
zw02-data-hdp-nn04	0.000	0.000	0.121	31.400
zw02-data-hdp-nn05	0.000	0.000	582.744	33K
zw02-data-hdp-nn06	0.000	0.000	0.000	0.000
zw02-data-hdp-nn07	0.000	0.000	0.000	0.000
zw02-data-hdp-nn08	0.000	0.000	132.420	1.432K
zw02-data-hdp-nn09	0.000	0.000	294.244	8.084K
zw02-data-hdp-nn10	0.000	0.000	0.106	28.800
zw02-data-hdp-nn11	0.000	0.000	0.000	0.000
zw02-data-hdp-nn12	167.200	0.000	373.640	5.3K
zw02-data-hdp-nn13	0.000	0.000	0.000	0.000
zw02-data-hdp-nn14	247.400	0.000	212.177	3.567K
zw02-data-hdp-nn15	0.000	0.000	0.000	0.000
zw02-data-hdp-nn16	4.000	0.000	191.417	5.52K
zw02-data-hdp-nn17	0.000	0.000	0.000	0.000
zw02-data-hdp-nn18	375.200	0.000	1.381K	10.453K
zw02-data-hdp-nn19	0.000	0.000	0.000	0.000
zw02-data-hdp-nn20	13.000	0.000	302.422	10.695K
zw02-data-hdp-nn21	0.000	0.000	0.000	0.000
zw02-data-hdp-nn22	339.600	0.000	11.832	885.600
zw02-data-hdp-nn23	0.000	0.000	288.376	5.803K
zw02-data-hdp-nn24	0.000	0.000	0.644	63.400
zw02-data-hdp-nn25	0.000	0.000	0.000	0.200
zw02-data-hdp-nn26	2.409K	0.000	2.051K	20.016K
zw02-data-hdp-nn27	0.000	0.000	34.501	1.006K
zw02-data-hdp-nn28	0.000	0.000	0.000	0.000
zw02-data-hdp-nn29	37.400	0.000	301.073	5.472K
zw02-data-hdp-nn30	0.000	0.000	0.000	0.000
zw02-data-hdp-nn31	0.000	0.000	79.625	1.68K
zw02-data-hdp-nn32	0.000	0.000	0.000	0.000
zw02-data-hdp-nn33	532.000	0.000	779.561	15.763K
zw02-data-hdp-nn34	0.000	0.000	0.000	0.200
zw02-data-hdp-nn35	0.000	0.000	0.000	0.000
zw02-data-hdp-nn36	1.332K	0.000	531.315	7.909K
zw02-data-hdp-nn37	12.400	0.000	194.358	3.276K
zw02-data-hdp-nn38	0.000	0.000	0.000	0.000
zw02-data-hdp-nn39	0.000	0.000	167.634	2.89K
zw02-data-hdp-nn40	0.000	0.000	0.000	0.000
zw02-data-hdp-nn41	333.200	0.000	435.770	9.127K
zw02-data-hdp-nn42	0.000	0.000	0.000	0.000
zw02-data-hdp-nn43	0.000	0.000	0.000	0.000
zw02-data-hdp-nn44	146.800	0.000	216.681	2.548K
zw02-data-hdp-nn45	729.200	0.000	204.536	8.838K
zw02-data-hdp-nn46	0.000	0.000	0.000	0.000
zw02-data-hdp-nn47	293.000	0.000	752.201	23.989K
zw02-data-hdp-nn48	0.000	0.000	0.000	0.000
zw02-data-hdp-nn49	309.200	0.000	168.720	2.265K
zw02-data-hdp-nn50	0.000	0.000	0.000	0.000
zw02-data-hdp-nn51	0.000	0.000	0.000	0.200
zw02-data-hdp-nn52	0.000	0.000	0.000	0.000
zw02-data-hdp-nn53	0.000	0.000	0.000	0.000
zw02-data-hdp-nn54	0.000	0.000	0.001	0.200
zw02-data-hdp-nn55	0.000	0.000	1.022	212.000
zw02-data-hdp-nn56	0.000	0.000	0.000	0.000
